NOTES:,This sheet contains merged booths (after 2010). See Merges sheet,,,,,,,,,
,,: merged booths after 2010,,,,,,,,
,,: error. No nearby 2010 matchs,,,,,,,,
,,: a sythesized 2006 result,,,,,,,,
,,,,,,,,,,
BOOTH_NAME,VENUE NAME,ADDRESS,DISTRICT,REGION,GREENS_PERC_2010,GREENS_PERC_2006,VENUE NAME,ADDRESS,LATITUDE,LONGITUDE
Hamilton Central,Hamilton Senior Citizens Clubroom,100 Lonsdale Street Hamilton,Lowan,Western Victoria,7.39,6.56,Hamilton Senior Citizens Clubroom,100 Lonsdale Street Hamilton,-37.740966,142.024546
Hamilton North,Hamilton North Primary School,Andrews Street Hamilton,Lowan,Western Victoria,5.88,6.56,Hamilton North Primary School,Andrews Street Hamilton,-37.726381,141.995158
Hamlyn Heights,Western Heights College Quamby Campus,Quamby Avenue Hamlyn Heights,Lara,Western Victoria,10.16,6.36,Western Heights College Quamby Campus,Quamby Avenue Hamlyn Heights,-38.125458,144.333955
Harrow,Harrow RSL Hall,Blair Street Harrow,Lowan,Western Victoria,4.43,4.21,Harrow RSL Hall,Blair Street Harrow,-37.165187,141.593344
Haven,Haven Memorial Hall,4378 Henty Highway Haven,Lowan,Western Victoria,5.17,5.23,Haven Memorial Hall,4378 Henty Highway Haven,-36.753896,142.195115
Hawkesdale,Hawkesdale P-12 College,corner Mitchell and Spring Streets Hawkesdale,South-West Coast,Western Victoria,5.68,4.95,Hawkesdale P-12 College,corner Mitchell and Spring Streets Hawkesdale,-38.107948,142.317789
Heywood,Heywood Community Complex,Gorrie Street Heywood,South-West Coast,Western Victoria,4.85,2.83,Heywood Community Complex,Gorrie Street Heywood,-38.128637,141.619716
Highton,Highton Primary School,218 Roslyn Road Highton,South Barwon,Western Victoria,12.23,11.94,Highton Primary School,218 Roslyn Road Highton,-38.171724,144.317248
Highton Central,St Lukes Uniting Church,174 Barrabool Road Highton,South Barwon,Western Victoria,9.59,11.94,St Lukes Uniting Church,174 Barrabool Road Highton,-38.169056,144.310224
Highton North,Montpellier Primary School,Lambhill Crescent Highton,South Barwon,Western Victoria,10.46,11.94,Montpellier Primary School,Lambhill Crescent Highton,-38.166765,144.316424
Horsham Central,Horsham College - Senior Campus,59 Dimboola Road Horsham,Lowan,Western Victoria,7.46,7.04,Horsham College - Senior Campus,59 Dimboola Road Horsham,-36.707539,142.188335
Horsham East,Horsham C.W.A. Hall,corner McPherson and Smith Streets Horsham,Lowan,Western Victoria,6.60,9.49,Horsham C.W.A. Hall,corner McPherson and Smith Streets Horsham,-36.713287,142.205268
Horsham North,Horsham North Primary School,2B Rasmussen Road Horsham,Lowan,Western Victoria,4.67,4.50,Horsham North Primary School,2B Rasmussen Road Horsham,-36.697666,142.204532
Horsham West,Horsham West Primary School,Hillary Street Horsham,Lowan,Western Victoria,6.73,5.65,Horsham West Primary School,Hillary Street Horsham,-36.717182,142.179351
Indented Head,Indented Head Boat Club Hall,The Esplanade Indented Head,Bellarine,Western Victoria,10.09,11.03,Indented Head Boat Club Hall,The Esplanade Indented Head,-38.143048,144.714448
Inglewood,Inglewood Primary School,77 Sullivan Street Inglewood,Ripon,Western Victoria,6.03,0.00,Inglewood Primary School,77 Sullivan Street Inglewood,-36.573843,143.870465
